Designator,Mid X,Mid Y,Rotation,Layer
C1,75.2648,-53.1302,0.0,top
C10,94.9884,-32.0096,90.0,top
C11,94.8868,-27.9456,90.0,top
C12,88.2422,-23.4498,180.0,top
C13,84.32425,-23.4498,180.0,top
C14,80.4063,-23.4498,180.0,top
C15,76.48835,-23.4498,180.0,top
C16,72.5704,-23.4498,180.0,top
C17,68.0936,-44.9834,180.0,top
C18,69.5928,-29.3148,180.0,top
C19,67.3824,-42.1386,270.0,top
C2,79.0626,-53.0916,0.0,top
C20,64.5376,-44.9834,0.0,top
C21,61.7926,-37.8754,90.0,top
C22,63.928,-42.8498,0.0,top
C23,70.166,-10.9982,90.0,top
C24,81.7738,-11.0236,90.0,top
C25,64.8716,-31.2166,0.0,top
C26,72.4726,-80.9912,270.0,top
C27,78.9242,-80.9912,90.0,top
C28,86.4362,-68.339,90.0,top
C29,80.7886,-81.2085,90.0,top
C3,82.8472,-53.0916,0.0,top
C30,73.0314,-78.248,0.0,top
C31,84.8614,-68.339,90.0,top
C32,83.4302,-81.7165,180.0,top
C33,83.6334,-79.8877,180.0,top
C34,10.7188,-11.7602,270.0,top
C35,14.6558,-3.6576,0.0,top
C36,17.9578,-6.49,90.0,top
C37,30.9626,-0.3556,180.0,top
C38,50.927,-4.445,180.0,top
C39,60.9904,-5.6388,270.0,top
C4,86.6318,-53.0916,0.0,top
C40,61.1784,-14.0462,270.0,top
C41,56.7182,0.762,270.0,top
C42,65.1408,-9.2003,180.0,top
C43,65.217,-17.526,180.0,top
C44,65.3542,0.7112,270.0,top
C5,90.2462,-53.0916,0.0,top
C6,95.123,-47.371,90.0,top
C7,95.1408,-43.6936,90.0,top
C8,95.09,-39.9344,90.0,top
C9,95.0392,-36.0228,90.0,top
D1,64.31,-50.9143,180.0,top
D2,64.31,-53.5813,180.0,top
D3,69.2912,-66.04,270.0,top
D4,6.7564,-3.6576,180.0,top
D5,22.733,0.5334,0.0,top
F1,6.4416,1.0572,0.0,top
J10,93.7906,-64.9318,90.0,top
J11,61.0362,-76.474,0.0,top
J12,93.8415,-18.7156,90.0,top
J13,93.7906,-72.3994,90.0,top
J14,1.3323,-6.3542,270.0,top
J15,16.1544,0.4318,0.0,top
J16,8.7978,-86.275,180.0,top
J2,1.3323,-18.2626,270.0,top
J5,90.6272,-85.0138,270.0,top
J6,93.7906,-56.4482,90.0,top
J7,60.3476,-62.4078,90.0,top
J8,61.0616,-85.1354,0.0,top
J9,93.7398,-79.7654,90.0,top
JP3,49.7028,1.5494,90.0,top
L1,40.7924,-2.3876,270.0,top
Q1,75.7428,-85.1154,270.0,top
Q18,13.7391,-84.8868,180.0,top
Qc1,12.2174,-22.0726,180.0,top
Qc10,12.0142,-56.4388,180.0,top
Qc11,12.0142,-60.198,180.0,top
Qc12,12.0142,-64.008,180.0,top
Qc13,12.0142,-67.7672,180.0,top
Qc14,12.0142,-71.5518,180.0,top
Qc15,12.0142,-75.4126,180.0,top
Qc16,12.0142,-79.2734,180.0,top
Qc2,12.2174,-25.8572,180.0,top
Qc3,12.1666,-29.6926,180.0,top
Qc4,12.1666,-33.5788,180.0,top
Qc5,12.1412,-37.4142,180.0,top
Qc6,12.1158,-41.2242,180.0,top
Qc7,12.0904,-45.085,180.0,top
Qc8,12.0904,-48.8442,180.0,top
Qc9,12.065,-52.6796,180.0,top
R1,76.482,-26.574,0.0,top
R10,91.9734,-47.2694,270.0,top
R11,90.4164,-50.1076,180.0,top
R12,86.6318,-50.1076,180.0,top
R13,82.8218,-50.1076,180.0,top
R14,79.088,-50.1076,180.0,top
R15,75.3288,-50.1076,180.0,top
R16,70.6496,-50.0822,180.0,top
R17,69.0024,-47.7012,270.0,top
R18,81.7738,-7.9248,270.0,top
R19,69.542,-37.0364,0.0,top
R2,80.3174,-26.574,0.0,top
R20,87.503,-65.4812,180.0,top
R21,69.542,-35.5124,0.0,top
R22,88.773,-80.7466,90.0,top
R23,69.5928,-30.9404,0.0,top
R24,69.2404,-69.4944,270.0,top
R25,82.1568,-83.9216,0.0,top
R26,73.9902,-65.5574,90.0,top
R27,79.058,-83.9216,180.0,top
R28,77.2922,-63.3222,90.0,top
R29,78.867,-63.2968,90.0,top
R3,84.3052,-26.574,0.0,top
R30,90.805,-76.9874,90.0,top
R31,85.3694,-18.5166,0.0,top
R32,91.059,-62.0649,90.0,top
R33,85.3694,-16.891,180.0,top
R34,90.9066,-69.5706,90.0,top
R35,31.6484,-5.8674,270.0,top
R36,30.0482,-5.8674,90.0,top
R37,15.5194,-80.2386,180.0,top
R38,15.5072,-76.3778,180.0,top
R39,15.494,-72.517,180.0,top
R4,88.1406,-26.574,0.0,top
R40,15.494,-68.7324,180.0,top
R41,15.5194,-64.9732,180.0,top
R42,15.494,-61.1632,180.0,top
R43,23.241,-67.80784,90.0,top
R44,48.3108,-54.94528,90.0,top
R45,23.241,-80.6704,90.0,top
R46,52.3494,-67.80784,90.0,top
R47,35.8648,-67.80784,90.0,top
R48,48.3108,-80.6704,90.0,top
R49,52.3494,-80.6704,90.0,top
R5,91.788,-28.0726,270.0,top
R50,27.3304,-80.6704,90.0,top
R51,48.3108,-67.80784,90.0,top
R52,39.9034,-67.80784,90.0,top
R53,27.3304,-67.80784,90.0,top
R54,52.3494,-54.94528,90.0,top
R6,91.8388,-31.9588,270.0,top
R61,15.5194,-57.3786,180.0,top
R62,15.5448,-53.6448,180.0,top
R63,15.5956,-49.8094,180.0,top
R64,15.5956,-46.0502,180.0,top
R65,15.621,-42.1894,180.0,top
R66,15.6464,-38.3794,180.0,top
R67,48.3108,-29.2608,90.0,top
R68,23.241,-42.08272,90.0,top
